ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
238, Data Scientist (Junior),Family Physician,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",5,Government Services
239, Therapist ,Genetic Counselor,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",12,Software
240, Clinical Psychologist ,Massage Therapist,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",5,Manufacturing
241, Clinical Psychologist,Medical Assistant,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Consumer Products & Services
242, Data Analyst ,Nurse,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",5,Construction
243, Data Annotator ,Occupational Therapist,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Health
244, Data Analyst ,Optometrist,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Human Resources
245, Programs Intern ,Orthodontist,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",10,Consumer Products & Services
246, Qualified Behaviour Analyst ,Pharmacist,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",7,Business Products & Services
247, Mental Health Focal Person ,Physical Therapist,"Google Ads Certification, Facebook Blueprint Certification",2,Manufacturing
248," Head Researcher, Psychometrics Dept",Physician Assistant,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Real Estate
249, Mental Health Therapist ,Psychologist,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",7,Security
250, Virtual Assistant ,Radiologist,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Business Products & Services
251, Psychologist Assistant ,Registered Nurse (RN),"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,IT System Development
252, Lead Clinical Psychologist ,Speech-Language Pathologist,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",5,Construction
253, Data Analyst ,Surgeon,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",5,Financial Services
254, Clinical Psychologist,Veterinarian,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Insurance
255, Class Teacher ,Lawyer,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
256, Data Annotator ,Law Enforcement Officer,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Advertising & Marketing
257, HerTechTrail,Paralegal,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Human Resources
258, Data Research Analyst ,Politician,"Certified Nonprofit Professional (CNP), Fundraising Certification",8,Retail
259, Data Analyst ,Social Worker,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Energy
260, Career Development Specialist,Astronomer,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Consumer Products & Services
261, Data & Risk Analyst,Biochemist,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",6,Consumer Products & Services
262, Customer Experience Analyst,Biologist,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Health
263, Clinical Psychologist,Chemist,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",7,Insurance
264, Ayodele Ola ,Climatologist,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",6,Business Products & Services
265, Clinical Psychology Intern,Ecologist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Consumer Products & Services
266, Data Entry Academy ,Geologist,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Travel & Hospitality
267, Nnamdi Azikiwe University,Marine Biologist,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,IT System Development
268, Executive Administrator ,Mathematician,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Real Estate
269, University of Lagos,Meteorologist,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",10,Health
270, Clinical Psychologist,Paleontologist,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",5,Advertising & Marketing
271, Business Intelligence Analyst,Physicist,bsc accounting,5,Government Services
272, Psychologist,Research Scientist,bsc business administration,5,Retail
273, Data Annotator ,Statistician,bsc computer science,10,Advertising & Marketing
274, Graduate Student Researcher,Counselor,bsc economics,3,Software
275, School Psychologist,Life Coach,bsc civil engineering,4,Business Products & Services
276, Data Engineer ,Probation Officer,bsc electrical engineering,10,IT Management
277, counselling psychologist ,Social Worker,bsc chemistry,10,Software
278, Student Ambassador ,Therapist,bsc estate management,4,Logistics & Transportation
279, IT intern ,Barber,bsc environmental science,5,Government Services
280, Personnel psychologist ,Carpenter,bsc geography,5,Health
281, Content Writer,Electrician,bsc geology,10,Business Products & Services
282, Business Management Consultant,Hairdresser,bsc industrial chemistry,10,Education
283, Human Resource Coordinator,HVAC Technician,bsc information technology,7,Environmental Services
284, Educator ,Landscaper,bsc mathematics,3,Manufacturing
285, Accountant & Model Analyst,Mechanic,bsc mechanical engineering,7,Health
286, Relationship Manager ,Plumber,bsc microbiology,5,Software
287, Head Of Business Development,Welder,bsc nursing,4,Health
288, University of Lagos,Athletic Trainer,bsc physics,5,Human Resources
289, Financial advisor ,Event Planner,bsc statistics,6,Manufacturing
290, Parttime Lecturer,Fitness Instructor,bsc biochemistry,7,Health
291, CEO/Counseling Psychologist,Flight Attendant,bsc bioinformatics,8,Advertising & Marketing
292, STATE SENIOR DATA ANALYST,Hospitality Manager,bsc biomedical engineering,10,Business Products & Services
293, Learning Development Officer ,Pilot,bsc botany,6,Government Services
294, Psychologist intern ,Travel Agent,bsc chemical engineering,0,Retail
295, Healthcare Worker,Cartoonist,bsc computer engineering,10,Retail
296, Associate ,Cinematographer,bsc electronic engineering,10,IT Management
297, Business Development Executive,Comic Book Artist,bsc food science and technology,10,Software
298, Fashion Design Intern/Asst.Instructor,Composer,bsc forestry,5,Logistics & Transportation
299, Inhouse Counselor,Conductor,bsc genetics,7,Software
300," Business Data Analyst at Globacom, Nigeria",Costume Designer,bsc geophysics,0,Advertising & Marketing
301, Data Analyst ,Craftsperson,bsc industrial physics,3,Health
302, Dataleum,Dancer,bsc marine biology,10,Media
303, Licensed Clinical Psychologist,Digital Designer,bsc marine science,8,Consumer Products & Services
304, IndabaXNigeria ,Editor,bsc marketing,5,Logistics & Transportation
305, Project Supervisor,Fashion Designer,bsc mass communication,10,Advertising & Marketing
306, Licensed Clinical Psychologist,Film Director,bsc medical laboratory science,10,Software
307, Asst. Data Management Executive,Fine Artist,bsc meteorology,4,Health
308, Data Analyst ,Floral Designer,bsc petroleum engineering,4,Advertising & Marketing
309, People and Culture Associate,Graphic Designer,bsc pharmacy,3,Retail
310, Quality Assurance Analyst ,Illustrator,bsc plant science,3,Advertising & Marketing
311, Data Analyst ,Industrial Designer,bsc polymer science and technology,7,Logistics & Transportation
312, Osun State University,Interior Designer,bsc psychology,15,Real Estate
313, Relationship Officer ,Jewelry Designer,bsc public health,7,Business Products & Services
314, Managing Director ,Landscape Architect,bsc quantity surveying,5,Consumer Products & Services
315, Data Analyst ,Lighting Designer,bsc radiological science,6,Software
316, Director & Lead Research Consultant,Makeup Artist,bsc software engineering,12,Advertising & Marketing
317, Data Analyst & Database Administrator,Musician,bsc surveying and geoinformatics,7,Logistics & Transportation
318, Psychologist ,Music Producer,bsc tourism and hospitality management,10,Health
319, CUSTOMER EXPERIENCE SUPERVISOR,Photographer,bsc wildlife and fisheries management,8,Consumer Products & Services
320, Data analyst intern,Public Relations Specialist,BSc Biochemistry ,10,Education
321, Data Analyst ,Set Designer,BSc Biochemistry ,10,Software
322, Volunteer Virtual therapist,Songwriter,BSc International relations and affairs,5,Financial Services
323, Administrative Assistant ,Sound Designer,BSc Human Resource management ,6,Software
324, Executive Assistant,Special Effects Artist,"BS, Metallurgical Engineering",0,Manufacturing
325, Mental Health Counselor,Stylist,BASc Real Estate,10,Real Estate
326, Human Resources Consultant,Tattoo Artist,BE. Agricultural Engineering ,10,Retail
327, Proofreader ,Teacher,BSc Entrepreneurship studies,5,IT Management
328, Product management and sales,Urban Planner,BSc Accounting,5,Software
329, Senior Administrative Assistant,Video Editor,B.Tech. Food Science and Technology ,6,Advertising & Marketing
330, Client Management Specialist,Video Game Designer,BSc Biochemistry ,10,Software
331, Art Therapist ,Web Designer,BSc Industrial Chemistry ,9,Logistics & Transportation
332, Business Development Manager,Writer,Mechanical Engineering ,10,Advertising & Marketing
333, University of Lagos,Accountant,Mechanical Engineering ,5,Financial Services
334, President ,Actuary,BSc Biochemistry ,5,Advertising & Marketing
335, Retail Data Analyst ,Auditor,BSc Economics ,3,Real Estate
336, Human Resources Administrative ...,Business Analyst,BSc Mechanical Engineering ,5,Government Services
337, Electrical Technician ,Business Consultant,BE Electrical and Electronics Engineering ,10,Software
338, University of Lagos,Entrepreneur,Bsc Physics and Mathematics ,4,Construction
339, IT Business Analyst ,Financial Analyst,Bsc Sociology ,4,Energy
340, Customer Experience ,Human Resources Manager,BE Electrical and Electronics Engineering ,10,Advertising & Marketing
341, Horizon West Africa,Insurance Agent,Bsc Integrated Marketing Communications ,6,Media
342, Executive Office Administrator,Investment Banker,B.Tech Applied Geology,3,Business Products & Services
343," Head, Management Information ...",Loan Officer,B.Tech Physics electronics,7,Consumer Products & Services
344, Yaba College of Technology ...,Marketing Manager,,9,Business Products & Services
345, Quality Analyst ,Market Researcher,BSc Microbiology,8,Logistics & Transportation
346, Middlesex University,Operations Manager,BA Religious studies,0,Consumer Products & Services
347, General Secretary ,Project Manager,BSc Biochemistry,15,Software
348, Co,Public Relations Specialist,BSc Pure and applied biology,3,Financial Services
349, Clinical Psychologist,Real Estate Agent,BSc Food Science and Technology ,4,Food & Beverage
350, Student Counselor ,Sales Manager,BEng Electrical ad Electronics Engineering,5,Business Products & Services
351, Account Officer ,Stockbroker,BSc Computer Science,5,Financial Services
352, Data Analyst ,Tax Advisor,B.Tech Agricultural Engineering ,9,Business Products & Services
353, Research/ Data Analyst Executive,College Professor,BSc Computer Science,10,Software
